id,name,type,subtype,faction,classLock,rarity,cost_energy,cost_exhaust,cost_sacrifice,stats,build_lego,build_footprint,text,rules,icons,flavor,limits_perDeck,limits_perField,tags
BQ-ACT-0001,Overdrive,Action,,Neutral,,Common,2,false,,,,,,Double movement for this turn.,"{\"movement\":2,\"duration\":1}",movement;speed,Push your limits.,,,,movement;buff
BQ-ACT-0002,Dash,Action,,Neutral,,Common,1,false,,,,,,Move to adjacent tile.,"{\"movement\":1}",movement;dash,Quick and nimble.,,,,movement;positioning
BQ-ACT-0003,Pulse Strike,Action,,Neutral,,Uncommon,3,false,,,,,,Deal 2 damage to all enemies in range 3.,"{\"damage\":2,\"range\":3,\"target\":\"allEnemies\"}",energy;damage,Energy courses through the battlefield.,,,,damage;aoe
BQ-ACT-0004,Shield Bash,Action,,Neutral,,Common,2,false,,,,,,Deal 1 damage and push enemy back 1.,"{\"damage\":1,\"push\":1}",shield;push,Defend and counter.,,,,damage;control
BQ-ACT-0005,Repair,Action,,Neutral,,Common,1,false,,,,,,Heal 3 HP.,"{\"heal\":3}",repair;heal,Fix what's broken.,,,,healing;utility
BQ-ACT-0006,Energy Surge,Action,,Neutral,,Uncommon,2,false,,,,,,Gain 3 Energy.,"{\"energy\":3}",energy;surge,Power flows through you.,,,,energy;buff
BQ-ACT-0007,Precision Shot,Action,,Neutral,,Uncommon,2,false,,,,,,Deal 3 damage to target. Cannot miss.,"{\"damage\":3,\"cannotMiss\":true}",aim;damage,Perfect accuracy.,,,,damage;precision
BQ-ACT-0008,Retreat,Action,,Neutral,,Common,1,false,,,,,,Move 2 tiles away from nearest enemy.,"{\"movement\":2,\"awayFrom\":\"nearestEnemy\"}",retreat;movement,Live to fight another day.,,,,movement;defensive
BQ-ACT-0009,Rally,Action,,Neutral,,Uncommon,2,false,,,,,,All allies gain +1 Attack this turn.,"{\"buff\":{\"attack\":1},\"target\":\"allies\",\"duration\":1}",rally;buff,Inspire your team.,,,,buff;teamwork
BQ-ACT-0010,Desperate Strike,Action,,Neutral,,Common,1,false,,,,,,"Deal 2 damage. If you have 5 or less HP, deal +2 damage.","{\"damage\":2,\"conditional\":{\"hp\":\"<=5\",\"damage\":4}}",desperate;damage,"When cornered, fight harder.",,,,damage;conditional
BQ-ACT-0011,Power Strike,Action,,Neutral,,Uncommon,3,false,,,,,,Deal 4 damage to target. If you have 8+ Energy, deal +2 damage.,"{\"damage\":4,\"conditional\":{\"energy\":\">=8\",\"damage\":6}}",power;damage,Channel your energy into devastating force.,,,,damage;conditional
BQ-ACT-0012,Tactical Retreat,Action,,Neutral,,Uncommon,3,false,,,,,,Move 3 tiles and gain +2 Defense until end of turn.,"{\"movement\":3,\"buff\":{\"defense\":2},\"duration\":1}",tactical;defense,Strategic withdrawal with defensive posture.,,,,movement;defense
